,hurricane_id,name,year,norm_damage_usd,damage_usd
0,532,Katrina,2005,116.9,125.0
6,363,Andrew,1992,106.0,27.3
3,663,Sandy,2012,73.5,68.7
1,724,Harvey,2017,62.2,125.0
4,586,Ike,2008,35.2,38.0
5,544,Wilma,2005,31.9,27.4
2,725,Irma,2017,31.0,77.2
9,508,Charley,2004,26.9,16.9
47,162,Camille,1969,26.4,1.42
33,192,Agnes,1972,26.0,2.1
7,514,Ivan,2004,25.9,26.1
14,338,Hugo,1989,25.1,9.47
13,511,Frances,2004,16.5,10.1
8,538,Rita,2005,14.9,18.5
18,442,Floyd,1999,13.9,6.5
17,515,Jeanne,2004,13.6,7.94
27,281,Alicia,1983,13.6,3.0
21,408,Fran,1996,11.1,5.0
11,635,Irene,2011,10.8,14.2
22,398,Opal,1995,10.0,4.7
10,713,Matthew,2016,8.6,16.5
16,584,Gustav,2008,6.0,8.31
44,400,Roxanne,1995,6.0,1.5
39,254,Allen,1980,6.0,1.57
40,249,David,1979,6.0,1.54
41,606,Alex,2010,6.0,1.52
42,306,Juan,1985,6.0,1.5
43,357,Bob,1991,6.0,1.5
46,129,Betsy,1965,6.0,1.42
45,674,Ingrid,2013,6.0,1.5
37,250,Frederic,1979,6.0,1.77
48,301,Elena,1985,6.0,1.3
49,486,Isidore,2002,6.0,1.28
50,489,Lili,2002,6.0,1.16
51,377,Alberto,1994,6.0,1.03
52,525,Emily,2005,6.0,1.01
38,581,Dolly,2008,6.0,1.6
35,329,Joan,1988,6.0,1.87
36,211,Fifi,1974,6.0,1.8
15,463,Allison,2001,6.0,8.5
34,564,Dean,2007,6.0,1.95
32,396,Marilyn,1995,6.0,2.1
31,475,Michelle,2001,6.0,2.35
30,639,Lee,2011,6.0,2.8
29,395,Luis,1995,6.0,2.97
28,326,Gilbert,1988,6.0,2.98
12,429,Georges,1998,6.0,13.9
26,654,Isaac,2012,6.0,3.11
25,524,Dennis,2005,6.0,3.98
24,618,Karl,2010,6.0,3.9
23,540,Stan,2005,6.0,3.96
20,498,Isabel,2003,6.0,5.5
19,435,Mitch,1998,6.0,6.08
53,424,Bonnie,1998,6.0,1.0
