Date,Name,Time,Status,Latitude,Longitude,MaximumWind,AirPressure
19500812,ABLE,0,TS,17.1N,55.5W,35,-999
19500812,ABLE,600,TS,17.7N,56.3W,40,-999
19500812,ABLE,1200,TS,18.2N,57.4W,45,-999
19500812,ABLE,1800,TS,19.0N,58.6W,50,-999
19500813,ABLE,0,TS,20.0N,60.0W,50,-999
19500813,ABLE,600,TS,20.7N,61.1W,50,-999
19500813,ABLE,1200,TS,21.3N,62.2W,55,-999
19500813,ABLE,1800,TS,22.0N,63.2W,55,997
19500814,ABLE,0,TS,22.7N,63.8W,60,995
19500814,ABLE,600,TS,23.1N,64.6W,60,-999
19500814,ABLE,1200,TS,23.4N,65.4W,60,995
19500814,ABLE,1800,HU,23.9N,66.0W,65,989
19500815,ABLE,0,HU,24.4N,66.2W,65,-999
19500815,ABLE,600,HU,24.8N,66.5W,65,-999
19500815,ABLE,1200,HU,25.2N,66.8W,70,987
19500815,ABLE,1800,HU,25.5N,67.5W,75,-999
19500816,ABLE,0,HU,25.7N,68.1W,80,-999
19500816,ABLE,600,HU,25.7N,68.7W,80,-999
19500816,ABLE,1200,HU,25.5N,69.3W,80,980
19500816,ABLE,1800,HU,25.4N,69.8W,85,-999
19500817,ABLE,0,HU,25.4N,70.6W,90,-999
19500817,ABLE,600,HU,25.4N,71.5W,95,-999
19500817,ABLE,1200,HU,25.5N,72.6W,100,962
19500817,ABLE,1800,HU,25.9N,73.3W,100,-999
19500818,ABLE,0,HU,26.7N,73.9W,100,-999
19500818,ABLE,600,HU,27.3N,74.4W,100,-999
19500818,ABLE,1200,HU,27.9N,74.9W,100,958
19500818,ABLE,1800,HU,28.4N,75.3W,105,-999
19500819,ABLE,0,HU,29.1N,75.5W,105,-999
19500819,ABLE,600,HU,29.9N,75.5W,105,-999
19500819,ABLE,1200,HU,30.7N,75.5W,105,953
19500819,ABLE,1800,HU,31.7N,75.5W,110,-999
19500820,ABLE,0,HU,32.8N,75.2W,110,-999
19500820,ABLE,600,HU,34.4N,74.3W,105,-999
19500820,ABLE,1200,HU,36.0N,72.7W,100,-999
19500820,ABLE,1800,HU,37.6N,71.0W,90,-999
19500821,ABLE,0,HU,39.3N,69.4W,80,-999
19500821,ABLE,600,HU,41.2N,67.3W,70,-999
19500821,ABLE,1200,HU,43.3N,65.0W,65,-999
19500821,ABLE,1600,HU,44.6N,63.7W,65,-999
19500821,ABLE,1800,TS,45.5N,62.6W,45,-999
19500822,ABLE,0,EX,47.9N,59.8W,35,-999
19500822,ABLE,600,EX,50.0N,56.8W,30,-999
19500822,ABLE,1200,EX,52.0N,53.8W,30,-999
19500822,ABLE,1800,EX,53.6N,50.7W,30,-999
19500823,ABLE,0,EX,54.7N,47.7W,35,-999
19500823,ABLE,600,EX,55.3N,44.8W,35,-999
19500823,ABLE,1200,EX,55.3N,41.8W,35,-999
19500823,ABLE,1800,EX,54.5N,37.7W,30,-999
19500824,ABLE,0,EX,53.5N,33.7W,30,-999
19500824,ABLE,600,EX,52.5N,30.3W,30,-999
19500818,BAKER,1200,TD,12.0N,54.0W,30,-999
19500818,BAKER,1800,TD,12.5N,54.2W,30,-999
19500819,BAKER,0,TD,13.0N,54.4W,30,-999
19500819,BAKER,600,TD,13.5N,54.7W,30,-999
19500819,BAKER,1200,TS,14.0N,55.0W,35,-999
19500819,BAKER,1800,TS,14.5N,55.4W,40,-999
19500820,BAKER,0,TS,15.0N,55.9W,45,-999
