,hurricane_id,date,time,status,latitude,longitude,max_wind,air_pressure,latitude_decimal,longitude_decimal,year,name
0,1,19500812,0,TS,17.1N,55.5W,35,-999,17.02,-55.08,1950,Able
1,2,19500818,1200,TD,12.0N,54.0W,30,-999,12.0,-54.0,1950,Baker
2,3,19500821,1200,TS,11.1N,26.4W,35,-999,11.02,-26.07,1950,Charlie
3,4,19500830,1800,HU,15.2N,55.6W,80,-999,15.03,-55.1,1950,Dog
4,5,19500901,600,TS,19.7N,83.2W,40,-999,19.12,-83.03,1950,Easy
5,6,19500908,600,TS,15.5N,41.0W,40,-999,15.08,-41.0,1950,Fox
6,7,19500927,600,TS,24.6N,51.0W,35,-999,24.1,-51.0,1950,George
7,8,19501001,600,TD,25.6N,88.4W,30,-999,25.1,-88.07,1950,How
8,9,19501008,600,TS,23.3N,90.4W,35,-999,23.05,-90.07,1950,Item
9,10,19501011,1200,TS,22.4N,47.0W,40,-999,22.07,-47.0,1950,Jig
10,11,19501013,600,TD,16.0N,84.2W,25,-999,16.0,-84.03,1950,King
11,12,19501017,600,TS,22.0N,42.0W,35,-999,22.0,-42.0,1950,Unnamed
12,13,19501018,0,TS,25.5N,89.5W,40,-999,25.08,-89.08,1950,Love
13,14,19501025,1200,TD,24.7N,42.2W,25,-999,24.12,-42.03,1950,Mike
14,15,19510102,1200,EX,30.5N,58.0W,50,-999,30.08,-58.0,1951,Unnamed
15,16,19510516,0,TD,32.0N,68.0W,30,-999,32.0,-68.0,1951,Able
16,17,19510802,600,TD,20.9N,52.9W,30,-999,20.15,-52.15,1951,Baker
17,18,19510812,0,TD,12.1N,44.1W,30,-999,12.02,-44.02,1951,Charlie
18,19,19510827,600,TD,12.3N,25.6W,25,-999,12.05,-25.1,1951,Dog
19,20,19510901,600,TD,12.5N,32.0W,30,-999,12.08,-32.0,1951,Easy
20,21,19510902,1800,TD,12.6N,20.3W,30,-999,12.1,-20.05,1951,Fox
21,22,19510919,1800,TD,19.4N,93.2W,30,-999,19.07,-93.03,1951,George
22,23,19510929,0,TD,20.2N,85.8W,25,-999,20.03,-85.13,1951,How
23,24,19511012,600,TD,15.5N,80.2W,30,-999,15.08,-80.03,1951,Item
24,25,19511015,600,TS,27.7N,76.0W,50,-999,27.12,-76.0,1951,Jig
25,26,19520202,600,LO,18.5N,87.2W,25,-999,18.08,-87.03,1952,Unnamed
26,27,19520818,600,TD,14.6N,19.0W,25,-999,14.1,-19.0,1952,Able
27,28,19520831,600,TS,15.4N,53.9W,50,-999,15.07,-53.15,1952,Baker
28,29,19520924,0,TD,20.0N,69.2W,30,-999,20.0,-69.03,1952,Charlie
29,30,19520924,1200,TD,12.6N,48.7W,30,-999,12.1,-48.12,1952,Dog
30,31,19521006,1200,TD,15.2N,51.0W,30,-999,15.03,-51.0,1952,Easy
31,32,19521020,1200,TD,11.4N,77.7W,25,-999,11.07,-77.12,1952,Fox
32,33,19530525,1800,TD,14.4N,81.8W,25,-999,14.07,-81.13,1953,Alice
33,34,19530711,1800,TD,26.1N,81.3W,25,-999,26.02,-81.05,1953,Unnamed
34,35,19530811,600,TD,22.8N,74.4W,25,-999,22.13,-74.07,1953,Barbara
35,36,19530828,600,TD,14.0N,20.5W,25,-999,14.0,-20.08,1953,Carol
36,37,19530908,600,TD,18.3N,65.1W,30,-999,18.05,-65.02,1953,Dolly
37,38,19530915,0,TS,18.9N,64.0W,45,-999,18.15,-64.0,1953,Edna
38,39,19530923,1200,TS,15.0N,78.0W,40,-999,15.0,-78.0,1953,Florence
39,40,19531002,600,TS,13.1N,35.5W,45,-999,13.02,-35.08,1953,Gail
40,41,19531007,600,TD,20.5N,86.4W,25,-999,20.08,-86.07,1953,Hazel
41,42,19540528,1200,TD,30.7N,80.0W,30,-999,30.12,-80.0,1954,Unnamed
42,43,19540624,1200,TS,22.2N,93.7W,50,-999,22.03,-93.12,1954,Alice
43,44,19540727,1200,TD,27.8N,90.1W,25,-999,27.13,-90.02,1954,Barbara
44,45,19540825,1200,TD,23.8N,75.0W,30,-999,23.13,-75.0,1954,Carol
45,46,19540831,1200,TS,20.5N,68.6W,35,-999,20.08,-68.1,1954,Dolly
46,47,19540905,0,TD,19.8N,65.3W,25,-999,19.13,-65.05,1954,Edna
47,48,19540910,1200,TD,22.5N,94.5W,30,-999,22.08,-94.08,1954,Florence
48,49,19540924,1800,TS,14.1N,75.8W,35,-999,14.02,-75.13,1954,Gilda
49,50,19541005,600,TS,12.0N,58.5W,40,-999,12.0,-58.08,1954,Hazel
50,51,19550101,0,HU,20.1N,56.8W,70,-999,20.02,-56.13,1955,Alice
51,52,19550731,600,TD,27.5N,87.5W,30,-999,27.08,-87.08,1955,Brenda
52,53,19550803,600,TD,15.3N,40.0W,30,-999,15.05,-40.0,1955,Connie
53,54,19550807,600,TD,15.7N,41.2W,25,-999,15.12,-41.03,1955,Diane
54,55,19550821,1200,TD,11.4N,42.0W,25,-999,11.07,-42.0,1955,Edith
55,56,19550825,1800,TD,24.6N,85.1W,30,-999,24.1,-85.02,1955,Unnamed
56,57,19550902,600,TS,19.0N,31.1W,35,-999,19.0,-31.02,1955,Flora
57,58,19550903,1800,TD,19.5N,93.3W,25,-999,19.08,-93.05,1955,Gladys
58,59,19550910,600,TD,13.6N,41.4W,25,-999,13.1,-41.07,1955,Ione
59,60,19550912,0,TS,19.2N,66.1W,40,-999,19.03,-66.02,1955,Hilda
60,61,19550921,1200,TS,13.2N,52.6W,40,-999,13.03,-52.1,1955,Janet
61,62,19551014,1800,TD,12.5N,79.3W,25,-999,12.08,-79.05,1955,Katie
62,63,19560612,0,TD,20.0N,91.5W,25,-999,20.0,-91.08,1956,Unnamed
63,64,19560725,1800,TD,20.8N,92.5W,30,-999,20.13,-92.08,1956,Anna
64,65,19560809,600,TS,13.5N,47.2W,50,-999,13.08,-47.03,1956,Betsy
65,66,19560907,0,TD,24.8N,75.0W,30,-999,24.13,-75.0,1956,Carla
66,67,19560910,600,TD,20.5N,91.1W,30,-999,20.08,-91.02,1956,Dora
67,68,19560911,1800,TD,23.5N,75.7W,25,-999,23.08,-75.12,1956,Ethel
68,69,19560920,1800,TD,18.0N,86.5W,25,-999,18.0,-86.08,1956,Flossy
69,70,19561031,0,TD,20.0N,74.7W,25,-999,20.0,-74.12,1956,Greta
70,71,19570608,600,TS,25.0N,89.2W,35,-999,25.0,-89.03,1957,Unnamed
71,72,19570624,1200,TD,21.0N,93.0W,30,-999,21.0,-93.0,1957,Audrey
72,73,19570808,0,TD,27.0N,87.4W,25,-999,27.0,-87.07,1957,Bertha
73,74,19570902,600,TD,13.0N,21.3W,25,-999,13.0,-21.05,1957,Carrie
74,75,19570907,600,TS,23.9N,89.8W,35,-999,23.15,-89.13,1957,Debbie
75,76,19570916,0,TD,20.8N,93.0W,30,-999,20.13,-93.0,1957,Esther
76,77,19570920,1200,TD,31.7N,65.8W,25,-999,31.12,-65.13,1957,Frieda
77,78,19580614,600,TD,21.1N,94.5W,30,-999,21.02,-94.08,1958,Alma
78,79,19580808,1200,TD,16.5N,20.5W,25,-999,16.08,-20.08,1958,Becky
79,80,19580811,600,TD,12.0N,20.5W,25,-999,12.0,-20.08,1958,Cleo
80,81,19580823,1800,TD,25.0N,73.0W,25,-999,25.0,-73.0,1958,Daisy
81,82,19580830,600,TD,12.5N,58.0W,30,-999,12.08,-58.0,1958,Ella
82,83,19580904,1200,TD,10.1N,44.8W,25,-999,10.02,-44.13,1958,Fifi
83,84,19580914,600,TS,17.4N,67.5W,40,-999,17.07,-67.08,1958,Gerda
84,85,19580921,600,TD,17.0N,52.0W,25,-999,17.0,-52.0,1958,Helene
85,86,19580924,600,TS,17.5N,51.5W,50,-999,17.08,-51.08,1958,Ilsa
86,87,19581004,1200,TD,18.5N,81.1W,30,-999,18.08,-81.02,1958,Janice
87,88,19580525,0,TD,25.0N,80.5W,25,1003,25.0,-80.08,1958,Unnamed
88,89,19590528,600,TD,23.3N,86.5W,25,-999,23.05,-86.08,1959,Arlene
89,90,19590615,1800,TS,21.1N,94.7W,35,-999,21.02,-94.12,1959,Beulah
90,91,19590618,0,TS,26.3N,86.3W,35,-999,26.05,-86.05,1959,Unnamed
91,92,19590704,1200,TD,31.5N,79.0W,25,-999,31.08,-79.0,1959,Cindy
92,93,19590722,1800,TD,27.5N,91.2W,25,-999,27.08,-91.03,1959,Debra
93,94,19590818,0,TS,14.3N,57.9W,35,1007,14.05,-57.15,1959,Edith
94,95,19590909,600,TD,16.8N,45.8W,25,-999,16.13,-45.13,1959,Flora
95,96,19590920,1200,TD,19.8N,68.3W,25,1009,19.13,-68.05,1959,Gracie
96,97,19590927,1200,TD,26.8N,49.9W,30,-999,26.13,-49.15,1959,Hannah
97,98,19591006,1800,TD,23.2N,92.5W,30,-999,23.03,-92.08,1959,Irene
98,99,19591014,600,TD,14.0N,73.5W,30,-999,14.0,-73.08,1959,Judith
99,100,19600622,600,TD,19.2N,93.2W,25,-999,19.03,-93.03,1960,Unnamed
100,101,19600709,1200,TS,12.0N,55.8W,40,-999,12.0,-55.13,1960,Abby
101,102,19600727,1800,TD,27.7N,85.1W,30,-999,27.12,-85.02,1960,Brenda
102,103,19600817,1800,TD,26.0N,74.7W,25,-999,26.0,-74.12,1960,Cleo
103,104,19600829,1800,TD,10.2N,22.8W,25,-999,10.03,-22.13,1960,Donna
104,105,19600912,1800,TD,22.0N,93.0W,25,-999,22.0,-93.0,1960,Ethel
105,106,19600917,600,TD,20.9N,64.0W,25,-999,20.15,-64.0,1960,Florence
106,107,19610717,1800,TD,10.5N,46.0W,30,-999,10.08,-46.0,1961,Anna
107,108,19610902,600,TS,13.3N,41.6W,55,-999,13.05,-41.1,1961,Betsy
108,109,19610903,1200,TD,12.5N,77.0W,25,-999,12.08,-77.0,1961,Carla
109,110,19610905,1200,TD,13.5N,17.7W,30,-999,13.08,-17.12,1961,Debbie
110,111,19610910,1200,TD,11.2N,31.0W,30,-999,11.03,-31.0,1961,Esther
111,112,19610912,1200,TD,25.8N,78.0W,25,-999,25.13,-78.0,1961,Unnamed
112,113,19610930,600,TS,16.0N,58.0W,35,-999,16.0,-58.0,1961,Frances
113,114,19611017,0,TD,19.7N,77.9W,30,1003,19.12,-77.15,1961,Gerda
114,115,19611026,0,TD,10.5N,79.0W,25,-999,10.08,-79.0,1961,Hattie
115,116,19611102,0,TD,22.5N,59.0W,30,-999,22.08,-59.0,1961,Jenny
116,117,19611104,0,TS,19.7N,94.3W,40,-999,19.12,-94.05,1961,Inga
117,118,19620826,1200,TD,25.7N,79.7W,25,-999,25.12,-79.12,1962,Alma
118,119,19620827,600,TS,16.0N,18.0W,40,-999,16.0,-18.0,1962,Becky
119,120,19620912,0,TS,15.9N,45.9W,35,-999,15.15,-45.15,1962,Celia
120,121,19620929,600,TD,14.5N,48.9W,25,-999,14.08,-48.15,1962,Daisy
121,122,19621014,600,TD,22.5N,73.0W,30,-999,22.08,-73.0,1962,Ella
122,123,19620629,0,EX,32.2N,77.7W,40,-999,32.03,-77.12,1962,Unnamed
123,124,19630731,1800,TD,11.0N,39.4W,25,-999,11.0,-39.07,1963,Arlene
124,125,19630820,0,TD,11.2N,47.4W,25,-999,11.03,-47.07,1963,Beulah
125,126,19630909,1200,TD,25.5N,67.5W,25,-999,25.08,-67.08,1963,Unnamed
126,127,19630916,1200,TS,26.7N,93.7W,40,-999,26.12,-93.12,1963,Cindy
127,128,19630919,600,TD,14.0N,38.3W,25,-999,14.0,-38.05,1963,Debra
128,129,19630923,1200,TD,11.2N,51.5W,25,-999,11.03,-51.08,1963,Edith
129,130,19630928,1200,TD,9.2N,46.3W,30,-999,9.03,-46.05,1963,Flora
130,131,19631017,1800,TD,25.5N,72.0W,20,-999,25.08,-72.0,1963,Ginny
131,132,19631025,600,TD,14.8N,58.3W,25,-999,14.13,-58.05,1963,Helena
132,133,19640603,1200,TD,18.5N,86.1W,25,-999,18.08,-86.02,1964,Unnamed
133,134,19640805,1800,TD,27.3N,87.7W,25,-999,27.05,-87.12,1964,Abby
134,135,19640808,600,TD,33.0N,67.0W,30,-999,33.0,-67.0,1964,Brenda
135,136,19640820,1800,TS,13.1N,44.3W,40,1003,13.02,-44.05,1964,Cleo
136,137,19640828,1200,TD,14.0N,17.0W,30,-999,14.0,-17.0,1964,Dora
137,138,19640904,600,TD,17.7N,35.6W,25,-999,17.12,-35.1,1964,Ethel
138,139,19640905,600,TD,14.5N,18.0W,30,1004,14.08,-18.0,1964,Florence
139,140,19640913,600,TS,14.7N,44.5W,55,-999,14.12,-44.08,1964,Gladys
140,141,19640928,1200,TD,21.2N,80.0W,25,-999,21.03,-80.0,1964,Hilda
141,142,19641009,600,TD,15.5N,83.0W,30,-999,15.08,-83.0,1964,Isbell
142,143,19650613,1800,TD,23.1N,91.0W,30,-999,23.02,-91.0,1965,Unnamed
143,144,19650821,600,TS,32.4N,52.3W,35,-999,32.07,-52.05,1965,Anna
144,145,19650827,0,TD,11.0N,50.5W,25,-999,11.0,-50.08,1965,Betsy
145,146,19650916,600,TD,13.3N,20.1W,25,-999,13.05,-20.02,1965,Carol
146,147,19650924,1200,TD,17.3N,85.0W,25,-999,17.05,-85.0,1965,Debbie
147,148,19651012,1200,TD,16.5N,47.5W,30,-999,16.08,-47.08,1965,Elena
148,149,19660604,600,TD,12.7N,84.0W,25,-999,12.12,-84.0,1966,Alma
149,150,19660701,1800,TD,32.4N,57.8W,25,-999,32.07,-57.13,1966,Becky
150,151,19660713,1200,TD,19.1N,59.5W,25,-999,19.02,-59.08,1966,Celia
151,152,19660722,1200,TD,10.0N,35.0W,25,-999,10.0,-35.0,1966,Ella
152,153,19660722,1800,TD,31.0N,41.0W,25,-999,31.0,-41.0,1966,Dorothy
153,154,19660821,0,TD,12.9N,20.5W,25,-999,12.15,-20.08,1966,Faith
154,155,19660901,1200,TD,13.7N,48.4W,25,-999,13.12,-48.07,1966,Greta
155,156,19660920,1200,TD,21.5N,95.4W,30,-999,21.08,-95.07,1966,Hallie
156,157,19660921,1200,TD,9.9N,35.1W,25,-999,9.15,-35.02,1966,Inez
157,158,19660927,0,TD,10.8N,43.2W,25,-999,10.13,-43.03,1966,Judith
158,159,19661104,1200,TD,26.5N,50.0W,25,-999,26.08,-50.0,1966,Lois
159,160,19670610,1200,TD,18.0N,85.0W,-99,-999,18.0,-85.0,1967,Unnamed
160,161,19670828,1800,TD,15.8N,35.8W,30,-999,15.13,-35.13,1967,Arlene
161,162,19670905,0,TD,15.4N,20.3W,30,-999,15.07,-20.05,1967,Chloe
162,163,19670905,1200,TD,14.0N,57.0W,30,-999,14.0,-57.0,1967,Beulah
163,164,19670908,0,TD,28.5N,77.5W,25,1010,28.08,-77.08,1967,Doria
164,165,19670926,1200,TD,12.5N,47.0W,30,-999,12.08,-47.0,1967,Edith
165,166,19671001,1800,TD,20.3N,93.0W,25,1005,20.05,-93.0,1967,Fern
166,167,19671005,1200,TD,17.0N,18.3W,30,-999,17.0,-18.05,1967,Ginger
167,168,19671019,1200,TD,20.5N,54.0W,25,-999,20.08,-54.0,1967,Heidi
168,169,19680601,600,TD,17.2N,85.5W,30,-999,17.03,-85.08,1968,Abby
169,170,19680617,1200,TD,24.0N,80.5W,25,-999,24.0,-80.08,1968,Brenda
170,171,19680622,1800,TD,20.0N,96.0W,25,-999,20.0,-96.0,1968,Candy
171,172,19680704,0,TD,27.9N,88.8W,25,-999,27.15,-88.13,1968,Unnamed
172,173,19680810,0,TD,25.0N,79.0W,25,1013,25.0,-79.0,1968,Dolly
173,174,19680911,1800,TD,12.7N,21.1W,25,-999,12.12,-21.02,1968,Edna
174,175,19680923,1200,TD,26.0N,74.0W,25,-999,26.0,-74.0,1968,Frances
175,176,19681013,1200,TD,14.0N,80.5W,25,-999,14.0,-80.08,1968,Gladys
176,177,19690529,0,TD,12.0N,82.0W,25,-999,12.0,-82.0,1969,Unnamed
177,178,19690725,600,TD,9.2N,27.0W,30,-999,9.03,-27.0,1969,Anna
178,179,19690811,0,TD,28.1N,71.7W,30,-999,28.02,-71.12,1969,Blanche
179,180,19690814,1200,TD,13.0N,35.5W,25,-999,13.0,-35.08,1969,Debbie
180,181,19690814,0,TD,18.3N,79.7W,30,-999,18.05,-79.12,1969,Camille
181,182,19690825,0,TD,29.5N,78.5W,30,-999,29.08,-78.08,1969,Eve
182,183,19690829,0,TD,11.5N,62.0W,30,-999,11.08,-62.0,1969,Francelia
183,184,19690906,0,TD,24.5N,77.0W,25,1015,24.08,-77.0,1969,Gerda
184,185,19690914,1200,TD,11.9N,47.4W,25,-999,11.15,-47.07,1969,Holly
185,186,19690920,1200,TD,16.0N,47.0W,25,-999,16.0,-47.0,1969,Inga
186,187,19691001,1200,TD,19.0N,83.7W,25,-999,19.0,-83.12,1969,Jenny
187,188,19691007,1200,TD,20.5N,68.0W,25,-999,20.08,-68.0,1969,Kara
188,189,19691017,0,TD,17.3N,85.1W,25,1007,17.05,-85.02,1969,Laurie
189,190,19691121,1200,TS,10.3N,81.0W,45,-999,10.05,-81.0,1969,Martha
190,191,19700517,1800,TD,11.5N,79.0W,25,-999,11.08,-79.0,1970,Alma
191,192,19700719,0,TD,18.5N,83.5W,25,-999,18.08,-83.08,1970,Becky
192,193,19700727,1200,TD,33.0N,76.5W,20,-999,33.0,-76.08,1970,Unnamed
