,hurricane_id,date,name,time,status,latitude,longitude,max_wind,air_pressure,latitude_decimal,longitude_decimal,year
0,1,19500812,Able,0,TS,17.1N,55.5W,35,-999,17.02,-55.08,1950
1,2,19500818,Baker,1200,TD,12.0N,54.0W,30,-999,12.0,-54.0,1950
2,3,19500821,Charlie,1200,TS,11.1N,26.4W,35,-999,11.02,-26.07,1950
3,4,19500830,Dog,1800,HU,15.2N,55.6W,80,-999,15.03,-55.1,1950
4,5,19500901,Easy,600,TS,19.7N,83.2W,40,-999,19.12,-83.03,1950
5,6,19500908,Fox,600,TS,15.5N,41.0W,40,-999,15.08,-41.0,1950
6,7,19500927,George,600,TS,24.6N,51.0W,35,-999,24.1,-51.0,1950
7,8,19501001,How,600,TD,25.6N,88.4W,30,-999,25.1,-88.07,1950
8,9,19501008,Item,600,TS,23.3N,90.4W,35,-999,23.05,-90.07,1950
9,10,19501011,Jig,1200,TS,22.4N,47.0W,40,-999,22.07,-47.0,1950
10,11,19501013,King,600,TD,16.0N,84.2W,25,-999,16.0,-84.03,1950
11,12,19501018,Love,0,TS,25.5N,89.5W,40,-999,25.08,-89.08,1950
12,13,19501025,Mike,1200,TD,24.7N,42.2W,25,-999,24.12,-42.03,1950
13,14,19510516,Able,0,TD,32.0N,68.0W,30,-999,32.0,-68.0,1951
14,15,19510802,Baker,600,TD,20.9N,52.9W,30,-999,20.15,-52.15,1951
15,16,19510812,Charlie,0,TD,12.1N,44.1W,30,-999,12.02,-44.02,1951
16,17,19510827,Dog,600,TD,12.3N,25.6W,25,-999,12.05,-25.1,1951
17,18,19510901,Easy,600,TD,12.5N,32.0W,30,-999,12.08,-32.0,1951
18,19,19510902,Fox,1800,TD,12.6N,20.3W,30,-999,12.1,-20.05,1951
19,20,19510919,George,1800,TD,19.4N,93.2W,30,-999,19.07,-93.03,1951
20,21,19510929,How,0,TD,20.2N,85.8W,25,-999,20.03,-85.13,1951
21,22,19511012,Item,600,TD,15.5N,80.2W,30,-999,15.08,-80.03,1951
22,23,19511015,Jig,600,TS,27.7N,76.0W,50,-999,27.12,-76.0,1951
23,24,19520818,Able,600,TD,14.6N,19.0W,25,-999,14.1,-19.0,1952
24,25,19520831,Baker,600,TS,15.4N,53.9W,50,-999,15.07,-53.15,1952
25,26,19520924,Charlie,0,TD,20.0N,69.2W,30,-999,20.0,-69.03,1952
26,27,19520924,Dog,1200,TD,12.6N,48.7W,30,-999,12.1,-48.12,1952
27,28,19521006,Easy,1200,TD,15.2N,51.0W,30,-999,15.03,-51.0,1952
28,29,19521020,Fox,1200,TD,11.4N,77.7W,25,-999,11.07,-77.12,1952
29,30,19530525,Alice,1800,TD,14.4N,81.8W,25,-999,14.07,-81.13,1953
30,31,19530811,Barbara,600,TD,22.8N,74.4W,25,-999,22.13,-74.07,1953
31,32,19530828,Carol,600,TD,14.0N,20.5W,25,-999,14.0,-20.08,1953
32,33,19530908,Dolly,600,TD,18.3N,65.1W,30,-999,18.05,-65.02,1953
33,34,19530915,Edna,0,TS,18.9N,64.0W,45,-999,18.15,-64.0,1953
