,date,name,time,status,latitude,longitude,max_wind,air_pressure,latitude_decimal,longitude_decimal,year,hurricane_id
0,19500812,Able,0,TS,17.1N,55.5W,35,-999,17.02,-55.08,1950,1
1,19500812,Able,600,TS,17.7N,56.3W,40,-999,17.12,-56.05,1950,1
2,19500812,Able,1200,TS,18.2N,57.4W,45,-999,18.03,-57.07,1950,1
3,19500812,Able,1800,TS,19.0N,58.6W,50,-999,19.0,-58.1,1950,1
4,19500813,Able,0,TS,20.0N,60.0W,50,-999,20.0,-60.0,1950,1
5,19500813,Able,600,TS,20.7N,61.1W,50,-999,20.12,-61.02,1950,1
6,19500813,Able,1200,TS,21.3N,62.2W,55,-999,21.05,-62.03,1950,1
7,19500813,Able,1800,TS,22.0N,63.2W,55,997,22.0,-63.03,1950,1
8,19500814,Able,0,TS,22.7N,63.8W,60,995,22.12,-63.13,1950,1
9,19500814,Able,600,TS,23.1N,64.6W,60,-999,23.02,-64.1,1950,1
10,19500814,Able,1200,TS,23.4N,65.4W,60,995,23.07,-65.07,1950,1
11,19500814,Able,1800,HU,23.9N,66.0W,65,989,23.15,-66.0,1950,1
12,19500815,Able,0,HU,24.4N,66.2W,65,-999,24.07,-66.03,1950,1
13,19500815,Able,600,HU,24.8N,66.5W,65,-999,24.13,-66.08,1950,1
14,19500815,Able,1200,HU,25.2N,66.8W,70,987,25.03,-66.13,1950,1
15,19500815,Able,1800,HU,25.5N,67.5W,75,-999,25.08,-67.08,1950,1
16,19500816,Able,0,HU,25.7N,68.1W,80,-999,25.12,-68.02,1950,1
17,19500816,Able,600,HU,25.7N,68.7W,80,-999,25.12,-68.12,1950,1
18,19500816,Able,1200,HU,25.5N,69.3W,80,980,25.08,-69.05,1950,1
19,19500816,Able,1800,HU,25.4N,69.8W,85,-999,25.07,-69.13,1950,1
20,19500817,Able,0,HU,25.4N,70.6W,90,-999,25.07,-70.1,1950,1
21,19500817,Able,600,HU,25.4N,71.5W,95,-999,25.07,-71.08,1950,1
22,19500817,Able,1200,HU,25.5N,72.6W,100,962,25.08,-72.1,1950,1
23,19500817,Able,1800,HU,25.9N,73.3W,100,-999,25.15,-73.05,1950,1
24,19500818,Able,0,HU,26.7N,73.9W,100,-999,26.12,-73.15,1950,1
25,19500818,Able,600,HU,27.3N,74.4W,100,-999,27.05,-74.07,1950,1
26,19500818,Able,1200,HU,27.9N,74.9W,100,958,27.15,-74.15,1950,1
27,19500818,Able,1800,HU,28.4N,75.3W,105,-999,28.07,-75.05,1950,1
28,19500819,Able,0,HU,29.1N,75.5W,105,-999,29.02,-75.08,1950,1
29,19500819,Able,600,HU,29.9N,75.5W,105,-999,29.15,-75.08,1950,1
30,19500819,Able,1200,HU,30.7N,75.5W,105,953,30.12,-75.08,1950,1
31,19500819,Able,1800,HU,31.7N,75.5W,110,-999,31.12,-75.08,1950,1
32,19500820,Able,0,HU,32.8N,75.2W,110,-999,32.13,-75.03,1950,1
33,19500820,Able,600,HU,34.4N,74.3W,105,-999,34.07,-74.05,1950,1
34,19500820,Able,1200,HU,36.0N,72.7W,100,-999,36.0,-72.12,1950,1
35,19500820,Able,1800,HU,37.6N,71.0W,90,-999,37.1,-71.0,1950,1
36,19500821,Able,0,HU,39.3N,69.4W,80,-999,39.05,-69.07,1950,1
37,19500821,Able,600,HU,41.2N,67.3W,70,-999,41.03,-67.05,1950,1
38,19500821,Able,1200,HU,43.3N,65.0W,65,-999,43.05,-65.0,1950,1
39,19500821,Able,1600,HU,44.6N,63.7W,65,-999,44.1,-63.12,1950,1
40,19500821,Able,1800,TS,45.5N,62.6W,45,-999,45.08,-62.1,1950,1
41,19500822,Able,0,EX,47.9N,59.8W,35,-999,47.15,-59.13,1950,1
42,19500822,Able,600,EX,50.0N,56.8W,30,-999,50.0,-56.13,1950,1
43,19500822,Able,1200,EX,52.0N,53.8W,30,-999,52.0,-53.13,1950,1
44,19500822,Able,1800,EX,53.6N,50.7W,30,-999,53.1,-50.12,1950,1
45,19500823,Able,0,EX,54.7N,47.7W,35,-999,54.12,-47.12,1950,1
46,19500823,Able,600,EX,55.3N,44.8W,35,-999,55.05,-44.13,1950,1
47,19500823,Able,1200,EX,55.3N,41.8W,35,-999,55.05,-41.13,1950,1
48,19500823,Able,1800,EX,54.5N,37.7W,30,-999,54.08,-37.12,1950,1
49,19500824,Able,0,EX,53.5N,33.7W,30,-999,53.08,-33.12,1950,1
50,19500824,Able,600,EX,52.5N,30.3W,30,-999,52.08,-30.05,1950,1
51,19500818,Baker,1200,TD,12.0N,54.0W,30,-999,12.0,-54.0,1950,2
52,19500818,Baker,1800,TD,12.5N,54.2W,30,-999,12.08,-54.03,1950,2
53,19500819,Baker,0,TD,13.0N,54.4W,30,-999,13.0,-54.07,1950,2
54,19500819,Baker,600,TD,13.5N,54.7W,30,-999,13.08,-54.12,1950,2
55,19500819,Baker,1200,TS,14.0N,55.0W,35,-999,14.0,-55.0,1950,2
56,19500819,Baker,1800,TS,14.5N,55.4W,40,-999,14.08,-55.07,1950,2
57,19500820,Baker,0,TS,15.0N,55.9W,45,-999,15.0,-55.15,1950,2
58,19500820,Baker,600,TS,15.5N,56.4W,50,-999,15.08,-56.07,1950,2
59,19500820,Baker,1200,TS,16.0N,57.0W,55,-999,16.0,-57.0,1950,2
60,19500820,Baker,1800,TS,16.3N,57.9W,60,-999,16.05,-57.15,1950,2
61,19500821,Baker,0,HU,16.6N,58.8W,65,-999,16.1,-58.13,1950,2
62,19500821,Baker,600,HU,16.8N,59.8W,70,-999,16.13,-59.13,1950,2
63,19500821,Baker,1200,HU,16.9N,60.6W,70,990,16.15,-60.1,1950,2
64,19500821,Baker,1800,HU,17.0N,61.0W,75,987,17.0,-61.0,1950,2
65,19500822,Baker,0,HU,17.0N,61.4W,85,-999,17.0,-61.07,1950,2
66,19500822,Baker,600,HU,16.9N,61.8W,75,-999,16.15,-61.13,1950,2
67,19500822,Baker,1200,TS,16.8N,62.2W,60,-999,16.13,-62.03,1950,2
68,19500822,Baker,1800,TS,16.8N,62.9W,45,1003,16.13,-62.15,1950,2
69,19500823,Baker,0,TS,17.0N,64.0W,45,-999,17.0,-64.0,1950,2
70,19500823,Baker,600,TS,17.4N,65.1W,40,-999,17.07,-65.02,1950,2
71,19500823,Baker,1200,TS,17.8N,66.2W,35,-999,17.13,-66.03,1950,2
72,19500823,Baker,1800,TD,18.2N,67.3W,30,-999,18.03,-67.05,1950,2
73,19500824,Baker,0,TD,18.6N,68.6W,30,-999,18.1,-68.1,1950,2
74,19500824,Baker,600,TD,19.4N,70.0W,25,-999,19.07,-70.0,1950,2
