,name,max_wind,name_year
8643,Allen,165,Allen_1980
18118,Wilma,160,Wilma_2005
24649,Dorian,160,Dorian_2019
24648,Dorian,160,Dorian_2019
10703,Gilbert,160,Gilbert_1988
8642,Allen,155,Allen_1980
23565,Irma,155,Irma_2017
23562,Irma,155,Irma_2017
23564,Irma,155,Irma_2017
24650,Dorian,155,Dorian_2019
24651,Dorian,155,Dorian_2019
18008,Rita,155,Rita_2005
14453,Mitch,155,Mitch_1998
14452,Mitch,155,Mitch_1998
23563,Irma,155,Irma_2017
24647,Dorian,155,Dorian_2019
23566,Irma,155,Irma_2017
23567,Irma,155,Irma_2017
8634,Allen,155,Allen_1980
10704,Gilbert,155,Gilbert_1988
8649,Allen,155,Allen_1980
18007,Rita,155,Rita_2005
8644,Allen,155,Allen_1980
23561,Irma,155,Irma_2017
17774,Katrina,150,Katrina_2005
1948,Janet,150,Janet_1955
1947,Janet,150,Janet_1955
5817,Camille,150,Camille_1969
18801,Dean,150,Dean_2007
7951,Anita,150,Anita_1977
1946,Janet,150,Janet_1955
23569,Irma,150,Irma_2017
18845,Felix,150,Felix_2007
23568,Irma,150,Irma_2017
18843,Felix,150,Felix_2007
18844,Felix,150,Felix_2007
8635,Allen,150,Allen_1980
18117,Wilma,150,Wilma_2005
11942,Andrew,150,Andrew_1992
23781,Maria,150,Maria_2017
23782,Maria,150,Maria_2017
14454,Mitch,150,Mitch_1998
14455,Mitch,150,Mitch_1998
8420,David,150,David_1979
5811,Camille,150,Camille_1969
18802,Dean,150,Dean_2007
23560,Irma,150,Irma_2017
18006,Rita,150,Rita_2005
5812,Camille,150,Camille_1969
8416,David,150,David_1979
8418,David,145,David_1979
18789,Dean,145,Dean_2007
18790,Dean,145,Dean_2007
23780,Maria,145,Maria_2017
3556,Hattie,145,Hattie_1961
17118,Ivan,145,Ivan_2004
17773,Katrina,145,Katrina_2005
23579,Irma,145,Irma_2017
23578,Irma,145,Irma_2017
8417,David,145,David_1979
8419,David,145,David_1979
23572,Irma,145,Irma_2017
8415,David,145,David_1979
23571,Irma,145,Irma_2017
23570,Irma,145,Irma_2017
18800,Dean,145,Dean_2007
17119,Ivan,145,Ivan_2004
8641,Allen,145,Allen_1980
16518,Isabel,145,Isabel_2003
18005,Rita,145,Rita_2005
10705,Gilbert,145,Gilbert_1988
14456,Mitch,145,Mitch_1998
11941,Andrew,145,Andrew_1992
11947,Andrew,145,Andrew_1992
24646,Dorian,145,Dorian_2019
11948,Andrew,145,Andrew_1992
14451,Mitch,145,Mitch_1998
24652,Dorian,145,Dorian_2019
5813,Camille,145,Camille_1969
8648,Allen,145,Allen_1980
23190,Matthew,145,Matthew_2016
23776,Maria,145,Maria_2017
8633,Allen,145,Allen_1980
23777,Maria,145,Maria_2017
16526,Isabel,140,Isabel_2003
17126,Ivan,140,Ivan_2004
1149,Carol,140,Carol_1953
8632,Allen,140,Allen_1980
17131,Ivan,140,Ivan_2004
1150,Carol,140,Carol_1953
24878,Lorenzo,140,Lorenzo_2019
17124,Ivan,140,Ivan_2004
8414,David,140,David_1979
8636,Allen,140,Allen_1980
10702,Gilbert,140,Gilbert_1988
23783,Maria,140,Maria_2017
8650,Allen,140,Allen_1980
10706,Gilbert,140,Gilbert_1988
17130,Ivan,140,Ivan_2004
17129,Ivan,140,Ivan_2004
3428,Esther,140,Esther_1961
16520,Isabel,140,Isabel_2003
16522,Isabel,140,Isabel_2003
3427,Esther,140,Esther_1961
16530,Isabel,140,Isabel_2003
24473,Michael,140,Michael_2018
16521,Isabel,140,Isabel_2003
16519,Isabel,140,Isabel_2003
1945,Janet,140,Janet_1955
17775,Katrina,140,Katrina_2005
