I,state,total_damage
44,US,1373711
43,TX,254968
8,FL,210060
17,LA,177971
38,PR,101548
26,NC,60410
24,MS,58808
33,NY,51646
30,NJ,38526
23,MO,30962
1,AL,28940
11,IA,26186
40,SC,24194
13,IL,21732
9,GA,20294
5,CO,20217
35,OK,19266
42,TN,18788
47,VI,17427
22,MN,14212
4,CA,13866
34,OH,13845
14,IN,13754
37,PA,13064
46,VA,12518
28,NE,12237
15,KS,11960
2,AR,9252
50,WI,8921
16,KY,8577
27,ND,8064
19,MD,7352
10,HI,5797
41,SD,5113
3,AZ,5015
21,MI,4351
6,CT,4246
51,WV,3719
18,MA,3475
36,OR,1450
45,UT,1393
39,RI,1310
25,MT,1260
48,VT,1118
49,WA,963
32,NV,947
31,NM,925
52,WY,877
7,DE,836
29,NH,525
12,ID,482
20,ME,292
0,AK,0
