,name,year,max_wind,name_year,hurricane_id,status,air_pressure,latitude,longitude,norm_damage_usd,damage_usd
531,Katrina,2005,150,Katrina_2005,532,TD,1010,23.02,-75.02,116,125
362,Andrew,1992,150,Andrew_1992,363,TD,1007,10.13,-35.08,106,27
662,Sandy,2012,100,Sandy_2012,663,LO,1010,14.05,-77.07,73,68
723,Harvey,2017,115,Harvey_2017,724,LO,1011,13.12,-45.13,62,125
585,Ike,2008,125,Ike_2008,586,TD,1012,17.03,-37.0,35,38
543,Wilma,2005,160,Wilma_2005,544,TD,1010,17.1,-78.08,31,27
724,Irma,2017,155,Irma_2017,725,TD,1010,16.02,-26.15,31,77
507,Charley,2004,130,Charley_2004,508,TD,1006,11.07,-59.03,26,16
161,Camille,1969,150,Camille_1969,162,TD,0,18.05,-79.12,26,1
191,Agnes,1972,75,Agnes_1972,192,TD,0,20.0,-89.0,26,2
513,Ivan,2004,145,Ivan_2004,514,TD,1010,9.12,-27.1,25,26
337,Hugo,1989,140,Hugo_1989,338,TD,1009,13.03,-20.0,25,9
510,Frances,2004,125,Frances_2004,511,TD,1010,11.02,-35.03,16,10
537,Rita,2005,155,Rita_2005,538,TD,1009,21.05,-69.15,14,18
441,Floyd,1999,135,Floyd_1999,442,TD,1009,14.1,-45.1,13,6
280,Alicia,1983,100,Alicia_1983,281,TD,1000,27.05,-90.08,13,3
514,Jeanne,2004,105,Jeanne_2004,515,TD,995,15.15,-60.0,13,7
407,Fran,1996,105,Fran_1996,408,TD,1010,14.0,-21.0,11,5
634,Irene,2011,105,Irene_2011,635,TS,1003,15.0,-59.0,10,14
397,Opal,1995,130,Opal_1995,398,TD,1015,19.02,-87.05,10,4
712,Matthew,2016,145,Matthew_2016,713,TS,1008,13.07,-59.13,8,16
300,Elena,1985,110,Elena_1985,301,TD,1012,19.13,-74.0,6,1
423,Bonnie,1998,100,Bonnie_1998,424,TD,1010,14.12,-48.02,6,1
428,Georges,1998,135,Georges_1998,429,TD,1015,9.12,-25.02,6,13
523,Dennis,2005,130,Dennis_2005,524,TD,1006,12.0,-60.13,6,3
488,Lili,2002,125,Lili_2002,489,TD,1009,10.03,-44.1,6,1
485,Isidore,2002,110,Isidore_2002,486,TD,1006,10.0,-60.08,6,1
376,Alberto,1994,55,Alberto_1994,377,TD,1012,21.12,-83.1,6,1
328,Joan,1988,125,Joan_1988,329,TD,1006,8.15,-42.03,6,1
653,Isaac,2012,70,Isaac_2012,654,LO,1011,15.12,-44.13,6,3
524,Emily,2005,140,Emily_2005,525,TD,1007,10.12,-42.07,6,1
497,Isabel,2003,145,Isabel_2003,498,TD,1007,13.13,-31.07,6,5
128,Betsy,1965,120,Betsy_1965,129,TD,0,11.0,-50.08,6,1
249,Frederic,1979,115,Frederic_1979,250,TD,1011,11.0,-25.08,6,1
563,Dean,2007,150,Dean_2007,564,TD,1010,12.03,-28.15,6,1
210,Fifi,1974,95,Fifi_1974,211,TD,0,15.05,-65.0,6,1
253,Allen,1980,165,Allen_1980,254,DB,0,11.0,-30.0,6,1
434,Mitch,1998,155,Mitch_1998,435,TD,1013,11.1,-76.02,6,6
474,Michelle,2001,120,Michelle_2001,475,TD,1010,13.05,-83.1,6,2
399,Roxanne,1995,100,Roxanne_1995,400,TD,1010,14.0,-82.02,6,1
305,Juan,1985,75,Juan_1985,306,TD,1008,24.08,-90.08,6,1
617,Karl,2010,110,Karl_2010,618,LO,1009,16.05,-78.08,6,3
395,Marilyn,1995,100,Marilyn_1995,396,TD,1009,11.12,-50.15,6,2
673,Ingrid,2013,75,Ingrid_2013,674,LO,1008,19.05,-92.03,6,1
325,Gilbert,1988,160,Gilbert_1988,326,TD,1005,12.0,-54.0,6,2
638,Lee,2011,50,Lee_2011,639,TD,1011,26.1,-91.07,6,2
539,Stan,2005,70,Stan_2005,540,TD,1009,18.15,-85.1,6,3
605,Alex,2010,95,Alex_2010,606,LO,1008,15.15,-82.0,6,1
462,Allison,2001,50,Allison_2001,463,TS,1010,27.08,-95.0,6,8
248,David,1979,150,David_1979,249,TD,1004,11.12,-36.02,6,1
580,Dolly,2008,85,Dolly_2008,581,TS,1006,17.13,-83.1,6,1
583,Gustav,2008,135,Gustav_2008,584,TD,1009,13.08,-67.07,6,8
394,Luis,1995,130,Luis_1995,395,TD,1010,11.07,-27.08,6,2
356,Bob,1991,100,Bob_1991,357,TD,1004,25.1,-74.05,6,1
