,name,year,time,max_wind,name_year,hurricane_id,date,status,latitude,longitude,air_pressure,latitude_decimal,longitude_decimal
0,Able,1950,0,35,Able_1950,1,19500812,TS,17.1N,55.5W,-999,17.02,-55.08
28,Able,1950,0,105,Able_1950,1,19500812,TS,17.1N,55.5W,-999,17.02,-55.08
29,Able,1950,600,105,Able_1950,1,19500812,TS,17.1N,55.5W,-999,17.02,-55.08
30,Able,1950,1200,105,Able_1950,1,19500812,TS,17.1N,55.5W,-999,17.02,-55.08
31,Able,1950,1800,110,Able_1950,1,19500812,TS,17.1N,55.5W,-999,17.02,-55.08
32,Able,1950,0,110,Able_1950,1,19500812,TS,17.1N,55.5W,-999,17.02,-55.08
33,Able,1950,600,105,Able_1950,1,19500812,TS,17.1N,55.5W,-999,17.02,-55.08
34,Able,1950,1200,100,Able_1950,1,19500812,TS,17.1N,55.5W,-999,17.02,-55.08
35,Able,1950,1800,90,Able_1950,1,19500812,TS,17.1N,55.5W,-999,17.02,-55.08
36,Able,1950,0,80,Able_1950,1,19500812,TS,17.1N,55.5W,-999,17.02,-55.08
37,Able,1950,600,70,Able_1950,1,19500812,TS,17.1N,55.5W,-999,17.02,-55.08
27,Able,1950,1800,105,Able_1950,1,19500812,TS,17.1N,55.5W,-999,17.02,-55.08
38,Able,1950,1200,65,Able_1950,1,19500812,TS,17.1N,55.5W,-999,17.02,-55.08
41,Able,1950,0,35,Able_1950,1,19500812,TS,17.1N,55.5W,-999,17.02,-55.08
42,Able,1950,600,30,Able_1950,1,19500812,TS,17.1N,55.5W,-999,17.02,-55.08
43,Able,1950,1200,30,Able_1950,1,19500812,TS,17.1N,55.5W,-999,17.02,-55.08
44,Able,1950,1800,30,Able_1950,1,19500812,TS,17.1N,55.5W,-999,17.02,-55.08
45,Able,1950,0,35,Able_1950,1,19500812,TS,17.1N,55.5W,-999,17.02,-55.08
46,Able,1950,600,35,Able_1950,1,19500812,TS,17.1N,55.5W,-999,17.02,-55.08
47,Able,1950,1200,35,Able_1950,1,19500812,TS,17.1N,55.5W,-999,17.02,-55.08
48,Able,1950,1800,30,Able_1950,1,19500812,TS,17.1N,55.5W,-999,17.02,-55.08
49,Able,1950,0,30,Able_1950,1,19500812,TS,17.1N,55.5W,-999,17.02,-55.08
50,Able,1950,600,30,Able_1950,1,19500812,TS,17.1N,55.5W,-999,17.02,-55.08
39,Able,1950,1600,65,Able_1950,1,19500812,TS,17.1N,55.5W,-999,17.02,-55.08
26,Able,1950,1200,100,Able_1950,1,19500812,TS,17.1N,55.5W,-999,17.02,-55.08
40,Able,1950,1800,45,Able_1950,1,19500812,TS,17.1N,55.5W,-999,17.02,-55.08
24,Able,1950,0,100,Able_1950,1,19500812,TS,17.1N,55.5W,-999,17.02,-55.08
25,Able,1950,600,100,Able_1950,1,19500812,TS,17.1N,55.5W,-999,17.02,-55.08
1,Able,1950,600,40,Able_1950,1,19500812,TS,17.1N,55.5W,-999,17.02,-55.08
2,Able,1950,1200,45,Able_1950,1,19500812,TS,17.1N,55.5W,-999,17.02,-55.08
3,Able,1950,1800,50,Able_1950,1,19500812,TS,17.1N,55.5W,-999,17.02,-55.08
4,Able,1950,0,50,Able_1950,1,19500812,TS,17.1N,55.5W,-999,17.02,-55.08
5,Able,1950,600,50,Able_1950,1,19500812,TS,17.1N,55.5W,-999,17.02,-55.08
7,Able,1950,1800,55,Able_1950,1,19500812,TS,17.1N,55.5W,-999,17.02,-55.08
8,Able,1950,0,60,Able_1950,1,19500812,TS,17.1N,55.5W,-999,17.02,-55.08
9,Able,1950,600,60,Able_1950,1,19500812,TS,17.1N,55.5W,-999,17.02,-55.08
10,Able,1950,1200,60,Able_1950,1,19500812,TS,17.1N,55.5W,-999,17.02,-55.08
11,Able,1950,1800,65,Able_1950,1,19500812,TS,17.1N,55.5W,-999,17.02,-55.08
6,Able,1950,1200,55,Able_1950,1,19500812,TS,17.1N,55.5W,-999,17.02,-55.08
13,Able,1950,600,65,Able_1950,1,19500812,TS,17.1N,55.5W,-999,17.02,-55.08
23,Able,1950,1800,100,Able_1950,1,19500812,TS,17.1N,55.5W,-999,17.02,-55.08
