,name,year,max_wind,name_year,hurricane_id,date,time,status,latitude,longitude,air_pressure,latitude_decimal,longitude_decimal
3,Able,1950,110,Able_1950,1,19500812,0,TS,17.1N,55.5W,-999,17.02,-55.08
74,Baker,1950,90,Baker_1950,2,19500818,1200,TD,12.0N,54.0W,-999,12.0,-54.0
174,Charlie,1950,95,Charlie_1950,3,19500821,1200,TS,11.1N,26.4W,-999,11.02,-26.07
262,Dog,1950,125,Dog_1950,4,19500830,1800,HU,15.2N,55.6W,-999,15.03,-55.1
294,Easy,1950,105,Easy_1950,5,19500901,600,TS,19.7N,83.2W,-999,19.12,-83.03
405,Fox,1950,120,Fox_1950,6,19500908,600,TS,15.5N,41.0W,-999,15.08,-41.0
440,George,1950,95,George_1950,7,19500927,600,TS,24.6N,51.0W,-999,24.1,-51.0
530,How,1950,40,How_1950,8,19501001,600,TD,25.6N,88.4W,-999,25.1,-88.07
574,Item,1950,90,Item_1950,9,19501008,600,TS,23.3N,90.4W,-999,23.05,-90.07
593,Jig,1950,100,Jig_1950,10,19501011,1200,TS,22.4N,47.0W,-999,22.07,-47.0
641,King,1950,115,King_1950,11,19501013,600,TD,16.0N,84.2W,-999,16.0,-84.03
674,Love,1950,70,Love_1950,12,19501018,0,TS,25.5N,89.5W,-999,25.08,-89.08
694,Mike,1950,40,Mike_1950,13,19501025,1200,TD,24.7N,42.2W,-999,24.12,-42.03
4,Able,1951,80,Able_1951,14,19510516,0,TD,32.0N,68.0W,-999,32.0,-68.0
75,Baker,1951,50,Baker_1951,15,19510802,600,TD,20.9N,52.9W,-999,20.15,-52.15
175,Charlie,1951,115,Charlie_1951,16,19510812,0,TD,12.1N,44.1W,-999,12.02,-44.02
263,Dog,1951,80,Dog_1951,17,19510827,600,TD,12.3N,25.6W,-999,12.05,-25.1
295,Easy,1951,130,Easy_1951,18,19510901,600,TD,12.5N,32.0W,-999,12.08,-32.0
406,Fox,1951,100,Fox_1951,19,19510902,1800,TD,12.6N,20.3W,-999,12.1,-20.05
441,George,1951,50,George_1951,20,19510919,1800,TD,19.4N,93.2W,-999,19.07,-93.03
531,How,1951,85,How_1951,21,19510929,0,TD,20.2N,85.8W,-999,20.03,-85.13
575,Item,1951,55,Item_1951,22,19511012,600,TD,15.5N,80.2W,-999,15.08,-80.03
594,Jig,1951,65,Jig_1951,23,19511015,600,TS,27.7N,76.0W,-999,27.12,-76.0
5,Able,1952,85,Able_1952,24,19520818,600,TD,14.6N,19.0W,-999,14.1,-19.0
76,Baker,1952,95,Baker_1952,25,19520831,600,TS,15.4N,53.9W,-999,15.07,-53.15
176,Charlie,1952,105,Charlie_1952,26,19520924,0,TD,20.0N,69.2W,-999,20.0,-69.03
264,Dog,1952,60,Dog_1952,27,19520924,1200,TD,12.6N,48.7W,-999,12.1,-48.12
296,Easy,1952,90,Easy_1952,28,19521006,1200,TD,15.2N,51.0W,-999,15.03,-51.0
407,Fox,1952,125,Fox_1952,29,19521020,1200,TD,11.4N,77.7W,-999,11.07,-77.12
19,Alice,1953,60,Alice_1953,30,19530525,1800,TD,14.4N,81.8W,-999,14.07,-81.13
77,Barbara,1953,80,Barbara_1953,31,19530811,600,TD,22.8N,74.4W,-999,22.13,-74.07
150,Carol,1953,140,Carol_1953,32,19530828,600,TD,14.0N,20.5W,-999,14.0,-20.08
265,Dolly,1953,65,Dolly_1953,33,19530908,600,TD,18.3N,65.1W,-999,18.05,-65.02
302,Edna,1953,100,Edna_1953,34,19530915,0,TS,18.9N,64.0W,-999,18.15,-64.0
388,Florence,1953,100,Florence_1953,35,19530923,1200,TS,15.0N,78.0W,-999,15.0,-78.0
435,Gail,1953,70,Gail_1953,36,19531002,600,TS,13.1N,35.5W,-999,13.02,-35.08
501,Hazel,1953,75,Hazel_1953,37,19531007,600,TD,20.5N,86.4W,-999,20.08,-86.07
20,Alice,1954,95,Alice_1954,38,19540624,1200,TS,22.2N,93.7W,-999,22.03,-93.12
78,Barbara,1954,50,Barbara_1954,39,19540727,1200,TD,27.8N,90.1W,-999,27.13,-90.02
151,Carol,1954,100,Carol_1954,40,19540825,1200,TD,23.8N,75.0W,-999,23.13,-75.0
266,Dolly,1954,75,Dolly_1954,41,19540831,1200,TS,20.5N,68.6W,-999,20.08,-68.1
303,Edna,1954,110,Edna_1954,42,19540905,0,TD,19.8N,65.3W,-999,19.13,-65.05
389,Florence,1954,55,Florence_1954,43,19540910,1200,TD,22.5N,94.5W,-999,22.08,-94.08
455,Gilda,1954,60,Gilda_1954,44,19540924,1800,TS,14.1N,75.8W,-999,14.02,-75.13
502,Hazel,1954,115,Hazel_1954,45,19541005,600,TS,12.0N,58.5W,-999,12.0,-58.08
21,Alice,1955,80,Alice_1955,46,19550101,0,HU,20.1N,56.8W,-999,20.02,-56.13
132,Brenda,1955,60,Brenda_1955,47,19550731,600,TD,27.5N,87.5W,-999,27.08,-87.08
210,Connie,1955,120,Connie_1955,48,19550803,600,TD,15.3N,40.0W,-999,15.05,-40.0
261,Diane,1955,90,Diane_1955,49,19550807,600,TD,15.7N,41.2W,-999,15.12,-41.03
297,Edith,1955,85,Edith_1955,50,19550821,1200,TD,11.4N,42.0W,-999,11.07,-42.0
385,Flora,1955,90,Flora_1955,51,19550902,600,TS,19.0N,31.1W,-999,19.0,-31.02
460,Gladys,1955,65,Gladys_1955,52,19550903,1800,TD,19.5N,93.3W,-999,19.08,-93.05
550,Ione,1955,120,Ione_1955,53,19550910,600,TD,13.6N,41.4W,-999,13.1,-41.07
522,Hilda,1955,105,Hilda_1955,54,19550912,0,TS,19.2N,66.1W,-999,19.03,-66.02
579,Janet,1955,150,Janet_1955,55,19550921,1200,TS,13.2N,52.6W,-999,13.03,-52.1
634,Katie,1955,95,Katie_1955,56,19551014,1800,TD,12.5N,79.3W,-999,12.08,-79.05
50,Anna,1956,75,Anna_1956,57,19560725,1800,TD,20.8N,92.5W,-999,20.13,-92.08
109,Betsy,1956,105,Betsy_1956,58,19560809,600,TS,13.5N,47.2W,-999,13.08,-47.03
147,Carla,1956,60,Carla_1956,59,19560907,0,TD,24.8N,75.0W,-999,24.13,-75.0
276,Dora,1956,50,Dora_1956,60,19560910,600,TD,20.5N,91.1W,-999,20.08,-91.02
