,name,year,hurricane_id,date,time,status,max_wind,air_pressure,latitude,longitude,norm_damage_usd,damage_usd,name_year,lat_lon
6801,Agnes,1972,192,19720619,1800,HU,65,988,29.1,-85.1,26,2,Agnes_1972,"29.1,-85.1"
6803,Agnes,1972,192,19720620,600,TD,30,1013,31.07,-84.12,26,2,Agnes_1972,"31.07,-84.12"
6799,Agnes,1972,192,19720620,1800,TD,30,997,32.15,-82.13,26,2,Agnes_1972,"32.15,-82.13"
11942,Andrew,1992,363,19920816,1800,TD,25,974,10.13,-35.08,106,27,Andrew_1992,"10.13,-35.08"
11943,Andrew,1992,363,19920817,0,TD,30,1008,11.03,-37.07,106,27,Andrew_1992,"11.03,-37.07"
11940,Andrew,1992,363,19920817,600,TD,30,993,11.12,-39.1,106,27,Andrew_1992,"11.12,-39.1"
11945,Andrew,1992,363,19920817,1200,TS,35,1005,12.05,-42.0,106,27,Andrew_1992,"12.05,-42.0"
11946,Andrew,1992,363,19920817,1800,TS,35,991,13.02,-44.03,106,27,Andrew_1992,"13.02,-44.03"
11953,Andrew,1992,363,19920818,0,TS,40,1002,13.1,-46.03,106,27,Andrew_1992,"13.1,-46.03"
11947,Andrew,1992,363,19920818,600,TS,45,995,14.02,-48.0,106,27,Andrew_1992,"14.02,-48.0"
11948,Andrew,1992,363,19920818,1200,TS,45,1008,14.1,-49.15,106,27,Andrew_1992,"14.1,-49.15"
11949,Andrew,1992,363,19920818,1800,TS,45,1007,15.07,-51.13,106,27,Andrew_1992,"15.07,-51.13"
11950,Andrew,1992,363,19920819,0,TS,45,993,16.05,-53.08,106,27,Andrew_1992,"16.05,-53.08"
11951,Andrew,1992,363,19920819,600,TS,45,1007,17.03,-55.05,106,27,Andrew_1992,"17.03,-55.05"
11952,Andrew,1992,363,19920819,1200,TS,45,1005,18.0,-56.15,106,27,Andrew_1992,"18.0,-56.15"
11955,Andrew,1992,363,19920819,1800,TS,45,993,18.13,-58.05,106,27,Andrew_1992,"18.13,-58.05"
11954,Andrew,1992,363,19920820,0,TS,40,958,19.13,-59.05,106,27,Andrew_1992,"19.13,-59.05"
11965,Andrew,1992,363,19920820,600,TS,40,1008,20.12,-60.0,106,27,Andrew_1992,"20.12,-60.0"
11964,Andrew,1992,363,19920820,1200,TS,40,963,21.12,-60.12,106,27,Andrew_1992,"21.12,-60.12"
11963,Andrew,1992,363,19920820,1800,TS,40,1003,22.08,-61.08,106,27,Andrew_1992,"22.08,-61.08"
11962,Andrew,1992,363,19920821,0,TS,45,981,23.03,-62.07,106,27,Andrew_1992,"23.03,-62.07"
11961,Andrew,1992,363,19920821,600,TS,45,977,23.15,-63.05,106,27,Andrew_1992,"23.15,-63.05"
11959,Andrew,1992,363,19920821,1200,TS,50,991,24.07,-64.03,106,27,Andrew_1992,"24.07,-64.03"
11960,Andrew,1992,363,19920821,1800,TS,50,975,24.13,-64.15,106,27,Andrew_1992,"24.13,-64.15"
11958,Andrew,1992,363,19920822,0,TS,55,1008,25.05,-65.15,106,27,Andrew_1992,"25.05,-65.15"
11957,Andrew,1992,363,19920822,600,HU,65,960,25.1,-67.0,106,27,Andrew_1992,"25.1,-67.0"
11956,Andrew,1992,363,19920822,1200,HU,80,1000,25.13,-68.05,106,27,Andrew_1992,"25.13,-68.05"
11941,Andrew,1992,363,19920822,1800,HU,95,0,25.12,-69.12,106,27,Andrew_1992,"25.12,-69.12"
11944,Andrew,1992,363,19920823,0,HU,110,0,25.1,-71.02,106,27,Andrew_1992,"25.1,-71.02"
11939,Andrew,1992,363,19920823,600,HU,130,0,25.08,-72.08,106,27,Andrew_1992,"25.08,-72.08"
11937,Andrew,1992,363,19920823,1200,HU,145,0,25.07,-74.03,106,27,Andrew_1992,"25.07,-74.03"
11923,Andrew,1992,363,19920823,1800,HU,150,0,25.07,-75.13,106,27,Andrew_1992,"25.07,-75.13"
11922,Andrew,1992,363,19920823,2100,HU,140,0,25.07,-76.1,106,27,Andrew_1992,"25.07,-76.1"
11918,Andrew,1992,363,19920824,0,HU,125,0,25.07,-77.08,106,27,Andrew_1992,"25.07,-77.08"
11920,Andrew,1992,363,19920824,100,HU,130,964,25.07,-77.13,106,27,Andrew_1992,"25.07,-77.13"
11919,Andrew,1992,363,19920824,600,HU,130,1006,25.07,-79.05,106,27,Andrew_1992,"25.07,-79.05"
11924,Andrew,1992,363,19920824,840,HU,145,1013,25.08,-80.03,106,27,Andrew_1992,"25.08,-80.03"
11917,Andrew,1992,363,19920824,905,HU,145,0,25.08,-80.05,106,27,Andrew_1992,"25.08,-80.05"
11916,Andrew,1992,363,19920824,1200,HU,115,0,25.1,-81.03,106,27,Andrew_1992,"25.1,-81.03"
11915,Andrew,1992,363,19920824,1800,HU,115,0,25.13,-83.02,106,27,Andrew_1992,"25.13,-83.02"
11914,Andrew,1992,363,19920825,0,HU,115,997,26.03,-85.0,106,27,Andrew_1992,"26.03,-85.0"
11921,Andrew,1992,363,19920825,600,HU,115,0,26.1,-86.12,106,27,Andrew_1992,"26.1,-86.12"
11925,Andrew,1992,363,19920825,1200,HU,120,1000,27.03,-88.03,106,27,Andrew_1992,"27.03,-88.03"
11938,Andrew,1992,363,19920825,1800,HU,125,0,27.13,-89.1,106,27,Andrew_1992,"27.13,-89.1"
11927,Andrew,1992,363,19920826,0,HU,125,0,28.08,-90.08,106,27,Andrew_1992,"28.08,-90.08"
11928,Andrew,1992,363,19920826,600,HU,120,0,29.03,-91.05,106,27,Andrew_1992,"29.03,-91.05"
11926,Andrew,1992,363,19920826,830,HU,100,0,29.1,-91.08,106,27,Andrew_1992,"29.1,-91.08"
11929,Andrew,1992,363,19920826,1200,HU,80,988,30.02,-91.12,106,27,Andrew_1992,"30.02,-91.12"
11930,Andrew,1992,363,19920826,1800,TS,50,994,30.15,-91.1,106,27,Andrew_1992,"30.15,-91.1"
11931,Andrew,1992,363,19920827,0,TS,35,977,31.08,-91.02,106,27,Andrew_1992,"31.08,-91.02"
11932,Andrew,1992,363,19920827,600,TD,30,933,32.02,-90.08,106,27,Andrew_1992,"32.02,-90.08"
11933,Andrew,1992,363,19920827,1200,TD,30,1005,32.13,-89.1,106,27,Andrew_1992,"32.13,-89.1"
11934,Andrew,1992,363,19920827,1800,TD,25,995,33.1,-88.07,106,27,Andrew_1992,"33.1,-88.07"
11935,Andrew,1992,363,19920828,0,TD,20,1002,34.07,-86.12,106,27,Andrew_1992,"34.07,-86.12"
11936,Andrew,1992,363,19920828,600,TD,20,960,35.07,-84.0,106,27,Andrew_1992,"35.07,-84.0"
5819,Camille,1969,162,19690814,0,TD,30,0,18.05,-79.12,26,1,Camille_1969,"18.05,-79.12"
5820,Camille,1969,162,19690814,600,TS,35,0,18.08,-80.08,26,1,Camille_1969,"18.08,-80.08"
5821,Camille,1969,162,19690814,1200,TS,45,963,18.13,-81.05,26,1,Camille_1969,"18.13,-81.05"
5822,Camille,1969,162,19690814,1800,TS,50,0,19.02,-82.0,26,1,Camille_1969,"19.02,-82.0"
5823,Camille,1969,162,19690815,0,TS,55,1005,19.08,-82.12,26,1,Camille_1969,"19.08,-82.12"
5827,Camille,1969,162,19690815,600,HU,65,0,20.0,-83.05,26,1,Camille_1969,"20.0,-83.05"
5825,Camille,1969,162,19690815,1200,HU,90,0,20.1,-83.13,26,1,Camille_1969,"20.1,-83.13"
5826,Camille,1969,162,19690815,1800,HU,95,1012,21.05,-84.02,26,1,Camille_1969,"21.05,-84.02"
5835,Camille,1969,162,19690815,2200,HU,95,0,21.15,-84.05,26,1,Camille_1969,"21.15,-84.05"
5817,Camille,1969,162,19690816,0,HU,90,985,22.05,-84.07,26,1,Camille_1969,"22.05,-84.07"
5828,Camille,1969,162,19690816,600,HU,105,0,23.02,-85.03,26,1,Camille_1969,"23.02,-85.03"
5829,Camille,1969,162,19690816,1200,HU,130,0,23.13,-86.0,26,1,Camille_1969,"23.13,-86.0"
5830,Camille,1969,162,19690816,1800,HU,150,1006,24.05,-86.1,26,1,Camille_1969,"24.05,-86.1"
5831,Camille,1969,162,19690817,0,HU,150,0,25.03,-87.03,26,1,Camille_1969,"25.03,-87.03"
5832,Camille,1969,162,19690817,600,HU,145,952,26.0,-87.12,26,1,Camille_1969,"26.0,-87.12"
5833,Camille,1969,162,19690817,1200,HU,140,952,27.0,-88.05,26,1,Camille_1969,"27.0,-88.05"
5834,Camille,1969,162,19690817,1800,HU,135,0,28.03,-88.12,26,1,Camille_1969,"28.03,-88.12"
5818,Camille,1969,162,19690818,0,HU,140,0,29.07,-89.0,26,1,Camille_1969,"29.07,-89.0"
5824,Camille,1969,162,19690818,400,HU,150,0,30.05,-89.07,26,1,Camille_1969,"30.05,-89.07"
5816,Camille,1969,162,19690818,600,HU,115,996,30.12,-89.1,26,1,Camille_1969,"30.12,-89.1"
5814,Camille,1969,162,19690818,1200,HU,75,0,32.0,-89.15,26,1,Camille_1969,"32.0,-89.15"
5799,Camille,1969,162,19690818,1800,TS,50,0,33.07,-90.02,26,1,Camille_1969,"33.07,-90.02"
5800,Camille,1969,162,19690819,0,TS,35,990,34.12,-90.0,26,1,Camille_1969,"34.12,-90.0"
5801,Camille,1969,162,19690819,600,TD,30,0,36.0,-89.05,26,1,Camille_1969,"36.0,-89.05"
5802,Camille,1969,162,19690819,1200,TD,30,0,37.0,-88.0,26,1,Camille_1969,"37.0,-88.0"
5803,Camille,1969,162,19690819,1800,TD,25,0,37.1,-86.0,26,1,Camille_1969,"37.1,-86.0"
5804,Camille,1969,162,19690820,0,TD,25,971,37.1,-84.0,26,1,Camille_1969,"37.1,-84.0"
5805,Camille,1969,162,19690820,600,TD,25,985,37.07,-80.1,26,1,Camille_1969,"37.07,-80.1"
5815,Camille,1969,162,19690820,1200,TD,30,0,37.03,-77.05,26,1,Camille_1969,"37.03,-77.05"
5807,Camille,1969,162,19690820,1800,TS,45,963,37.0,-75.05,26,1,Camille_1969,"37.0,-75.05"
5808,Camille,1969,162,19690821,0,TS,50,938,36.12,-73.1,26,1,Camille_1969,"36.12,-73.1"
5809,Camille,1969,162,19690821,600,TS,55,0,36.12,-70.15,26,1,Camille_1969,"36.12,-70.15"
5806,Camille,1969,162,19690821,1200,TS,60,0,37.02,-68.02,26,1,Camille_1969,"37.02,-68.02"
5810,Camille,1969,162,19690821,1800,TS,60,0,37.13,-64.12,26,1,Camille_1969,"37.13,-64.12"
5811,Camille,1969,162,19690822,0,TS,55,0,39.03,-61.13,26,1,Camille_1969,"39.03,-61.13"
5812,Camille,1969,162,19690822,600,TS,45,1001,40.13,-58.03,26,1,Camille_1969,"40.13,-58.03"
5813,Camille,1969,162,19690822,1200,EX,35,0,43.0,-54.0,26,1,Camille_1969,"43.0,-54.0"
16893,Charley,2004,508,20040809,1200,TD,30,1002,11.07,-59.03,26,16,Charley_2004,"11.07,-59.03"
16898,Charley,2004,508,20040809,1800,TD,30,986,11.12,-61.02,26,16,Charley_2004,"11.12,-61.02"
16894,Charley,2004,508,20040810,0,TD,30,988,12.03,-63.03,26,16,Charley_2004,"12.03,-63.03"
16895,Charley,2004,508,20040810,600,TS,35,1005,12.15,-65.05,26,16,Charley_2004,"12.15,-65.05"
16896,Charley,2004,508,20040810,1200,TS,40,983,13.13,-67.1,26,16,Charley_2004,"13.13,-67.1"
16897,Charley,2004,508,20040810,1800,TS,45,1005,14.15,-69.13,26,16,Charley_2004,"14.15,-69.13"
